n,seed,kind,macro_f1
8,42,stratified,0.23978435405954696
8,43,stratified,0.2505819641839786
8,44,stratified,0.28790133748870095
8,45,stratified,0.2623756285082948
8,46,stratified,0.2836548764400809
80,42,stratified,0.5233657798285569
80,43,stratified,0.5445191423889265
80,44,stratified,0.5265492231860521
80,45,stratified,0.5654628766341161
80,46,stratified,0.5410812557807594
200,42,stratified,0.7297469023608782
200,43,stratified,0.7135742080216503
200,44,stratified,0.6932819974932203
200,45,stratified,0.7228632404568944
200,46,stratified,0.6953048127964176
400,42,stratified,0.8146102705898
400,43,stratified,0.8195493095542051
400,44,stratified,0.7920873789452556
400,45,stratified,0.7834278876006782
400,46,stratified,0.8025953315566844
800,42,stratified,0.8691911508022829
800,43,stratified,0.8485532303941259
800,44,stratified,0.8612508511292929
800,45,stratified,0.8324452214103013
800,46,stratified,0.8555184220495137
8,-1,prompt,0.26434323461863374
9997,42,full,0.949818671394344
