model,from,to,diff,lo,hi,p
qwen3-0.6b,F16,Q8_0,0.0056,-0.0097,0.0232,0.446
qwen3-0.6b,Q8_0,Q5_K_M,-0.0748,-0.1027,-0.0474,0.0
qwen3-0.6b,Q5_K_M,Q4_K_M,0.0479,0.0167,0.0771,0.0
qwen3-0.6b,Q4_K_M,Q3_K_M,-0.1426,-0.1907,-0.0971,0.0
qwen3-1.7b,F16,Q8_0,0.0027,-0.0114,0.0152,0.668
qwen3-1.7b,Q8_0,Q5_K_M,-0.0094,-0.0237,0.0044,0.196
qwen3-1.7b,Q5_K_M,Q4_K_M,-0.0477,-0.0736,-0.0229,0.0
qwen3-1.7b,Q4_K_M,Q3_K_M,-0.0845,-0.1254,-0.0439,0.0
smollm2-1.7b,F16,Q8_0,0.0048,-0.0035,0.0136,0.282
smollm2-1.7b,Q8_0,Q5_K_M,-0.0334,-0.0576,-0.0099,0.0
smollm2-1.7b,Q5_K_M,Q4_K_M,-0.0254,-0.0548,0.0047,0.078
smollm2-1.7b,Q4_K_M,Q3_K_M,-0.1653,-0.2029,-0.1212,0.0
