config,model,quant,device,file_mb,load_s,peak_rss_mb,wall_s,cold_p50_ms,cold_p95_ms,cold_prompt_n,cold_warm_agree,n,accuracy,macro_f1,invalid_rate,aurc,ece,lat_p50_ms,lat_p95_ms,lat_max_ms,acc_lo,acc_hi,f1_lo,f1_hi,sel_acc@50,sel_acc@70,sel_acc@90,truncated,prompt_tps,gen_tps,label_mass
baseline-majority,baseline,baseline-majority,mac-mini-m4-cpu,0.0001,0.0001,161.4479,0.7109,,,,,500,0.144,0.0315,0.0,0.8198,0.0383,0.0001,0.0002,0.0013,0.112,0.174,0.0252,0.0371,0.24,0.1714,0.1467,0,,,
baseline-tfidf-lr-n8,baseline,baseline-tfidf-lr-n8,mac-mini-m4-cpu,0.0124,0.0004,161.9231,0.8051,,,,,500,0.266,0.2643,0.0,0.7011,0.0624,0.1818,0.1991,2.2207,0.226,0.304,0.2215,0.3005,0.276,0.2943,0.2844,0,,,
baseline-tfidf-lr-n80,baseline,baseline-tfidf-lr-n80,mac-mini-m4-cpu,0.0803,0.0009,162.0705,0.7989,,,,,500,0.544,0.5234,0.0,0.2385,0.1684,0.1833,0.201,2.2092,0.5,0.586,0.477,0.5657,0.752,0.66,0.5844,0,,,
baseline-tfidf-lr-n800,baseline,baseline-tfidf-lr-n800,mac-mini-m4-cpu,0.1408,0.0015,162.1033,0.8069,,,,,500,0.87,0.8692,0.0,0.034,0.1616,0.1829,0.2087,2.3031,0.838,0.898,0.8345,0.8966,0.98,0.9571,0.9178,0,,,
baseline-tfidf-lr,baseline,baseline-tfidf-lr,mac-mini-m4-cpu,0.9037,0.0078,164.7739,0.8221,,,,,500,0.948,0.9498,0.0,0.0051,0.0477,0.1833,0.202,2.5315,0.928,0.966,0.9296,0.9673,1.0,0.9943,0.9844,0,,,
qwen3-0.6b-F16,qwen3-0.6b,F16,mac-mini-m4-cpu,1509.3471,0.8431,1770.0127,62.4588,492.3486,520.1846,420.0,1.0,500,0.594,0.6105,0.0,0.2181,0.2755,114.0897,185.0639,259.0109,0.55,0.636,0.5651,0.6501,0.768,0.6886,0.6156,0,230.7182,51.9278,0.9998
qwen3-0.6b-Q3_K_M,qwen3-0.6b,Q3_K_M,mac-mini-m4-cpu,413.9784,0.5122,785.4981,55.2713,561.9457,678.6648,420.0,0.96,500,0.462,0.4466,0.0,0.4069,0.3169,99.6847,151.4138,244.732,0.418,0.508,0.3987,0.492,0.572,0.5229,0.4822,0,239.6201,112.2272,0.9927
qwen3-0.6b-Q4_K_M,qwen3-0.6b,Q4_K_M,mac-mini-m4-cpu,484.2197,0.6659,859.6029,36.7257,665.0079,713.3676,420.0,1.0,500,0.578,0.5892,0.0,0.2487,0.2886,64.7513,99.5309,161.9593,0.536,0.62,0.5432,0.6309,0.752,0.6714,0.6178,0,394.0848,116.117,0.9996
qwen3-0.6b-Q5_K_M,qwen3-0.6b,Q5_K_M,mac-mini-m4-cpu,551.3777,0.6022,926.466,41.4722,800.6441,841.6616,420.0,0.94,500,0.534,0.5413,0.0,0.2455,0.2998,73.3721,112.7807,185.2821,0.488,0.578,0.4957,0.5812,0.744,0.64,0.5711,0,339.4959,104.0826,0.9996
qwen3-0.6b-Q8_0,qwen3-0.6b,Q8_0,mac-mini-m4-cpu,804.7532,0.8302,1192.919,34.3827,491.8989,512.8079,420.0,1.0,500,0.598,0.6161,0.0,0.2218,0.2705,60.5591,88.842,142.5249,0.556,0.64,0.5707,0.6549,0.756,0.6886,0.6222,0,458.959,87.0587,0.9997
